uint8_no,param,range,lab_value,description,,,
32,target_power_qdb_HE20_mcs11_5g,[7:0],60,means target power of  HE20_mcs11_5g  is 60/4=15dbm,,,
33,target_power_qdb_HT40_mcs0_mcs1_5g,[7:0],76,means target power of  HT40_mcs0_mcs1_5g  is 76/4=19dbm,,,
34,target_power_qdb_HT40_mcs2_mcs3_5g,[7:0],76,means target power of  HT40_mcs2_mcs3_5g  is 76/4=19dbm,,,
35,target_power_qdb_HT40_mcs4_mcs5_5g,[7:0],76,means target power of  HT40_mcs4_mcs5_5g  is 76/4=19dbm,,,
36,target_power_qdb_HT40_mcs6_mcs7_5g,[7:0],72,means target power of  HT40_mcs6_mcs7_5g  is 72/4=18dbm,,,
37,fcc_enable,[7:0],0,"0: no fcc ,1: enable params 17-67 bytes to limit max power per channel for band edge compliance.",,,
38,chan1_pwr_limit_11b,[7:0],0,"means max power limit on channel 1 at 11b , 4 means 1dB",,,
39,chan2_pwr_limit_11b,[7:0],0,"means max power limit on channel 2 at 11b , 4 means 1dB",,,
40,chan3_pwr_limit_11b,[7:0],0,"means max power limit on channel 3 at 11b , 4 means 1dB",,,
41,chan4_pwr_limit_11b,[7:0],0,"means max power limit on channel 4 at 11b , 4 means 1dB",,,
42,chan5_pwr_limit_11b,[7:0],0,"means max power limit on channel 5 at 11b , 4 means 1dB",,,
43,chan6_pwr_limit_11b,[7:0],0,"means max power limit on channel 6 at 11b , 4 means 1dB",,,
44,chan7_pwr_limit_11b,[7:0],0,"means max power limit on channel 7 at 11b , 4 means 1dB",,,
45,chan8_pwr_limit_11b,[7:0],0,"means max power limit on channel 8 at 11b , 4 means 1dB",,,
46,chan9_pwr_limit_11b,[7:0],0,"means max power limit on channel 9 at 11b , 4 means 1dB",,,
47,chan10_pwr_limit_11b,[7:0],0,"means max power limit on channel 10 at 11b , 4 means 1dB",,,
48,chan11_pwr_limit_11b,[7:0],0,"means max power limit on channel 11 at 11b , 4 means 1dB",,,
49,chan12_pwr_limit_11b,[7:0],0,"means max power limit on channel 12 at 11b , 4 means 1dB",,,
50,chan13_pwr_limit_11b,[7:0],0,"means max power limit on channel 13 at 11b , 4 means 1dB",,,
51,chan14_pwr_limit_11b,[7:0],0,"means max power limit on channel 14 at 11b , 4 means 1dB",,,
52,chan1_pwr_limit_11g,[7:0],0,"means max power limit on channel 1 at 11g , 4 means 1dB",,,
53,chan2_pwr_limit_11g,[7:0],0,"means max power limit on channel 2 at 11g , 4 means 1dB",,,
54,chan3_pwr_limit_11g,[7:0],0,"means max power limit on channel 3 at 11g , 4 means 1dB",,,
55,chan4_pwr_limit_11g,[7:0],0,"means max power limit on channel 4 at 11g , 4 means 1dB",,,
56,chan5_pwr_limit_11g,[7:0],0,"means max power limit on channel 5 at 11g , 4 means 1dB",,,
57,chan6_pwr_limit_11g,[7:0],0,"means max power limit on channel 6 at 11g , 4 means 1dB",,,
58,chan7_pwr_limit_11g,[7:0],0,"means max power limit on channel 7 at 11g , 4 means 1dB",,,
59,chan8_pwr_limit_11g,[7:0],0,"means max power limit on channel 8 at 11g , 4 means 1dB",,,
60,chan9_pwr_limit_11g,[7:0],0,"means max power limit on channel 9 at 11g , 4 means 1dB",,,
61,chan10_pwr_limit_11g,[7:0],0,"means max power limit on channel 10 at 11g , 4 means 1dB",,,
62,chan11_pwr_limit_11g,[7:0],0,"means max power limit on channel 11 at 11g , 4 means 1dB",,,
63,chan12_pwr_limit_11g,[7:0],0,"means max power limit on channel 12 at 11g , 4 means 1dB",,,
64,chan13_pwr_limit_11g,[7:0],0,"means max power limit on channel 13 at 11g , 4 means 1dB",,,
65,chan14_pwr_limit_11g,[7:0],0,"means max power limit on channel 14 at 11g , 4 means 1dB",,,
66,chan1_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 1 at HT20_11n , 4 means 1dB",,,
67,chan2_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 2 at HT20_11n , 4 means 1dB",,,
68,chan3_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 3 at HT20_11n , 4 means 1dB",,,
69,chan4_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 4 at HT20_11n , 4 means 1dB",,,
70,chan5_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 5 at HT20_11n , 4 means 1dB",,,
71,chan6_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 6 at HT20_11n , 4 means 1dB",,,
72,chan7_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 7 at HT20_11n , 4 means 1dB",,,
73,chan8_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 8 at HT20_11n , 4 means 1dB",,,
74,chan9_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 9 at HT20_11n , 4 means 1dB",,,
75,chan10_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 10 at HT20_11n , 4 means 1dB",,,
76,chan11_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 11 at HT20_11n , 4 means 1dB",,,
77,chan12_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 12 at HT20_11n , 4 means 1dB",,,
78,chan13_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 13 at HT20_11n , 4 means 1dB",,,
79,chan14_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on channel 14 at HT20_11n , 4 means 1dB",,,
80,chan3_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 3 at HT40_11n , 4 means 1dB",,,
81,chan4_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 4 at HT40_11n , 4 means 1dB",,,
82,chan5_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 5 at HT40_11n , 4 means 1dB",,,
83,chan6_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 6 at HT40_11n , 4 means 1dB",,,
84,chan7_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 7 at HT40_11n , 4 means 1dB",,,
85,chan8_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 8 at HT40_11n , 4 means 1dB",,,
86,chan9_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 9 at HT40_11n , 4 means 1dB",,,
87,chan10_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 10 at HT40_11n , 4 means 1dB",,,
88,chan11_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on channel 11 at HT40_11n , 4 means 1dB",,,
89,chan36_pwr_limit_11g,[7:0],0,"means max power limit on  channel 36 at 11g, 4 means 1dB",,,
90,chan40_pwr_limit_11g,[7:0],0,"means max power limit on  channel 40 at 11g, 4 means 1dB",,,
91,chan44_pwr_limit_11g,[7:0],0,"means max power limit on  channel 44 at 11g, 4 means 1dB",,,
92,chan48_pwr_limit_11g,[7:0],0,"means max power limit on  channel 48 at 11g, 4 means 1dB",,,
93,chan52_pwr_limit_11g,[7:0],0,"means max power limit on  channel 52 at 11g, 4 means 1dB",,,
94,chan56_pwr_limit_11g,[7:0],0,"means max power limit on  channel 56 at 11g, 4 means 1dB",,,
95,chan60_pwr_limit_11g,[7:0],0,"means max power limit on  channel 60 at 11g, 4 means 1dB",,,
96,chan64_pwr_limit_11g,[7:0],0,"means max power limit on  channel 64 at 11g, 4 means 1dB",,,
97,chan100_pwr_limit_11g,[7:0],0,"means max power limit on  channel 100 at 11g, 4 means 1dB",,,
98,chan104_pwr_limit_11g,[7:0],0,"means max power limit on  channel 104 at 11g, 4 means 1dB",,,
99,chan108_pwr_limit_11g,[7:0],0,"means max power limit on  channel 108 at 11g, 4 means 1dB",,,
100,chan112_pwr_limit_11g,[7:0],0,"means max power limit on  channel 112 at 11g, 4 means 1dB",,,
101,chan116_pwr_limit_11g,[7:0],0,"means max power limit on  channel 116 at 11g, 4 means 1dB",,,
102,chan120_pwr_limit_11g,[7:0],0,"means max power limit on  channel 120 at 11g, 4 means 1dB",,,
103,chan124_pwr_limit_11g,[7:0],0,"means max power limit on  channel 124 at 11g, 4 means 1dB",,,
104,chan128_pwr_limit_11g,[7:0],0,"means max power limit on  channel 128 at 11g, 4 means 1dB",,,
105,chan132_pwr_limit_11g,[7:0],0,"means max power limit on  channel 132 at 11g, 4 means 1dB",,,
106,chan136_pwr_limit_11g,[7:0],0,"means max power limit on  channel 136 at 11g, 4 means 1dB",,,
107,chan140_pwr_limit_11g,[7:0],0,"means max power limit on  channel 140 at 11g, 4 means 1dB",,,
108,chan144_pwr_limit_11g,[7:0],0,"means max power limit on  channel 144 at 11g, 4 means 1dB",,,
109,chan149_pwr_limit_11g,[7:0],0,"means max power limit on  channel 149 at 11g, 4 means 1dB",,,
110,chan153_pwr_limit_11g,[7:0],0,"means max power limit on  channel 153 at 11g, 4 means 1dB",,,
111,chan157_pwr_limit_11g,[7:0],0,"means max power limit on  channel 157 at 11g, 4 means 1dB",,,
112,chan161_pwr_limit_11g,[7:0],0,"means max power limit on  channel 161 at 11g, 4 means 1dB",,,
113,chan165_pwr_limit_11g,[7:0],0,"means max power limit on  channel 165 at 11g, 4 means 1dB",,,
114,chan169_pwr_limit_11g,[7:0],0,"means max power limit on  channel 169 at 11g, 4 means 1dB",,,
115,chan173_pwr_limit_11g,[7:0],0,"means max power limit on  channel 173 at 11g, 4 means 1dB",,,
116,chan177_pwr_limit_11g,[7:0],0,"means max power limit on  channel 177 at 11g, 4 means 1dB",,,
117,chan36_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 36 at 11n_cbw20, 4 means 1dB",,,
118,chan40_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 40 at 11n_cbw20, 4 means 1dB",,,
119,chan44_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 44 at 11n_cbw20, 4 means 1dB",,,
120,chan48_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 48 at 11n_cbw20, 4 means 1dB",,,
121,chan52_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 52 at 11n_cbw20, 4 means 1dB",,,
122,chan56_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 56 at 11n_cbw20, 4 means 1dB",,,
123,chan60_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 60 at 11n_cbw20, 4 means 1dB",,,
124,chan64_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 64 at 11n_cbw20, 4 means 1dB",,,
125,chan100_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 100 at 11n_cbw20, 4 means 1dB",,,
126,chan104_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 104 at 11n_cbw20, 4 means 1dB",,,
127,chan108_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 108 at 11n_cbw20, 4 means 1dB",,,
128,chan112_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 112 at 11n_cbw20, 4 means 1dB",,,
129,chan116_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 116 at 11n_cbw20, 4 means 1dB",,,
130,chan120_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 120 at 11n_cbw20, 4 means 1dB",,,
131,chan124_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 124 at 11n_cbw20, 4 means 1dB",,,
132,chan128_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 128 at 11n_cbw20, 4 means 1dB",,,
133,chan132_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 132 at 11n_cbw20, 4 means 1dB",,,
134,chan136_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 136 at 11n_cbw20, 4 means 1dB",,,
135,chan140_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 140 at 11n_cbw20, 4 means 1dB",,,
136,chan144_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 144 at 11n_cbw20, 4 means 1dB",,,
137,chan149_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 149 at 11n_cbw20, 4 means 1dB",,,
138,chan153_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 153 at 11n_cbw20, 4 means 1dB",,,
139,chan157_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 157 at 11n_cbw20, 4 means 1dB",,,
140,chan161_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 161 at 11n_cbw20, 4 means 1dB",,,
141,chan165_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 165 at 11n_cbw20, 4 means 1dB",,,
142,chan169_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 169 at 11n_cbw20, 4 means 1dB",,,
143,chan173_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 173 at 11n_cbw20, 4 means 1dB",,,
144,chan177_pwr_limit_11n_cbw20,[7:0],0,"means max power limit on  channel 177 at 11n_cbw20, 4 means 1dB",,,
145,chan38_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 38 at 11n_cbw40, 4 means 1dB",,,
146,chan46_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 46 at 11n_cbw40, 4 means 1dB",,,
147,chan54_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 54 at 11n_cbw40, 4 means 1dB",,,
148,chan62_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 62 at 11n_cbw40, 4 means 1dB",,,
149,chan102_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 102 at 11n_cbw40, 4 means 1dB",,,
150,chan110_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 110 at 11n_cbw40, 4 means 1dB",,,
151,chan118_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 118 at 11n_cbw40, 4 means 1dB",,,
152,chan126_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 126 at 11n_cbw40, 4 means 1dB",,,
153,chan134_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 134 at 11n_cbw40, 4 means 1dB",,,
154,chan142_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 142 at 11n_cbw40, 4 means 1dB",,,
155,chan151_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 151 at 11n_cbw40, 4 means 1dB",,,
156,chan159_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 159 at 11n_cbw40, 4 means 1dB",,,
157,chan167_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 167 at 11n_cbw40, 4 means 1dB",,,
158,chan175_pwr_limit_11n_cbw40,[7:0],0,"means max power limit on  channel 175 at 11n_cbw40, 4 means 1dB",,,
159,reserved,[7:0],0,reserved,,,
160,reserved,[7:0],0,reserved,,,
161,reserved,[7:0],0,reserved,,,
162,reserved,[7:0],0,reserved,,,
163,reserved,[7:0],0,reserved,,,
164,reserved,[7:0],0,reserved,,,
165,reserved,[7:0],0,reserved,,,
166,reserved,[7:0],0,reserved,,,
167,reserved,[7:0],0,reserved,,,
168,reserved,[7:0],0,reserved,,,
169,reserved,[7:0],0,reserved,,,
170,reserved,[7:0],0,reserved,,,
171,reserved,[7:0],0,reserved,,,
172,reserved,[7:0],0,reserved,,,
173,reserved,[7:0],0,reserved,,,
174,reserved,[7:0],0,reserved,,,
175,reserved,[7:0],0,reserved,,,
176,reserved,[7:0],0,reserved,,,
177,reserved,[7:0],0,reserved,,,
178,reserved,[7:0],0,reserved,,,
179,reserved,[7:0],0,reserved,,,
180,reserved,[7:0],0,reserved,,,
181,reserved,[7:0],0,reserved,,,
182,reserved,[7:0],0,reserved,,,
183,reserved,[7:0],0,reserved,,,
184,reserved,[7:0],0,reserved,,,
185,reserved,[7:0],0,reserved,,,
186,reserved,[7:0],0,reserved,,,
187,reserved,[7:0],0,reserved,,,
188,reserved,[7:0],0,reserved,,,
189,reserved,[7:0],0,reserved,,,
190,reserved,[7:0],0,reserved,,,
191,reserved,[7:0],0,reserved,,,
192,reserved,[7:0],0,reserved,,,
193,reserved,[7:0],0,reserved,,,
194,reserved,[7:0],0,reserved,,,
195,reserved,[7:0],0,reserved,,,
196,reserved,[7:0],0,reserved,,,
197,reserved,[7:0],0,reserved,,,
198,reserved,[7:0],0,reserved,,,
199,reserved,[7:0],0,reserved,,,
200,reserved,[7:0],0,reserved,,,
201,reserved,[7:0],0,reserved,,,
202,reserved,[7:0],0,reserved,,,
203,reserved,[7:0],0,reserved,,,
204,reserved,[7:0],0,reserved,,,
205,reserved,[7:0],0,reserved,,,
206,reserved,[7:0],0,reserved,,,
207,reserved,[7:0],0,reserved,,,
208,reserved,[7:0],0,reserved,,,
209,reserved,[7:0],0,reserved,,,
210,reserved,[7:0],0,reserved,,,
211,reserved,[7:0],0,reserved,,,
212,reserved,[7:0],0,reserved,,,
213,reserved,[7:0],0,reserved,,,
214,reserved,[7:0],0,reserved,,,
215,reserved,[7:0],0,reserved,,,
216,reserved,[7:0],0,reserved,,,
217,reserved,[7:0],0,reserved,,,
218,reserved,[7:0],0,reserved,,,
219,reserved,[7:0],0,reserved,,,
220,reserved,[7:0],0,reserved,,,
221,reserved,[7:0],0,reserved,,,
222,reserved,[7:0],0,reserved,,,
223,reserved,[7:0],0,reserved,,,
224,reserved,[7:0],0,reserved,,,
225,reserved,[7:0],0,reserved,,,
226,reserved,[7:0],0,reserved,,,
227,reserved,[7:0],0,reserved,,,
228,reserved,[7:0],0,reserved,,,
229,reserved,[7:0],0,reserved,,,
230,reserved,[7:0],0,reserved,,,
231,reserved,[7:0],0,reserved,,,
232,reserved,[7:0],0,reserved,,,
233,reserved,[7:0],0,reserved,,,
234,reserved,[7:0],0,reserved,,,
235,reserved,[7:0],0,reserved,,,
236,reserved,[7:0],0,reserved,,,
237,reserved,[7:0],0,reserved,,,
238,reserved,[7:0],0,reserved,,,
239,reserved,[7:0],0,reserved,,,
240,reserved,[7:0],0,reserved,,,
241,reserved,[7:0],0,reserved,,,
242,reserved,[7:0],0,reserved,,,
243,reserved,[7:0],0,reserved,,,
244,reserved,[7:0],0,reserved,,,
245,reserved,[7:0],0,reserved,,,
246,reserved,[7:0],0,reserved,,,
247,reserved,[7:0],0,reserved,,,
248,reserved,[7:0],0,reserved,,,
249,reserved,[7:0],0,reserved,,,
250,reserved,[7:0],0,reserved,,,
251,reserved,[7:0],0,reserved,,,
252,reserved,[7:0],0,reserved,,,
253,multiple_bins_enable,[7:0],0,"support multiple bins,1: enable;0:disable",,,
254,certification_code,[7:0],0,"certification code:byte [127];0:default,1:SRRC,2:FCC,3:CE,4:NCC,5:KCC,6:MIC,7:IC ",,,
255,CRC8,[7:0],0x5A,CRC8,,,
,magic[0],[7:0],80,,,,
,magic[1],[7:0],72,,,,
,magic[2],[7:0],89,,,,
,magic[3],[7:0],73,,,,
,magic[4],[7:0],78,,,,
,magic[5],[7:0],73,,,,
,magic[6],[7:0],84,,,,
,magic[7],[7:0],0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
